601-girardi-dan,7.0,17.0,2.43,411764.71
794-bolland-dave,5.5,23.0,4.18,239130.43
1312-tavares-john,6.0,70.0,11.67,85714.29
1390-leddy-nick,4.0,40.0,10.0,100000.0
1412-ekman-larsson-oliver,6.0,55.0,9.17,109090.91
1687-barrie-tyson,3.2,49.0,15.31,65306.12
1255-myers-tyler,5.0,27.0,5.4,185185.19
287-sekera-andrej,6.5,30.0,4.62,216666.67
611-jagr-jaromir,3.5,66.0,18.86,53030.3
1493-petry-jeff,7.0,16.0,2.29,437500.0
670-ladd-andrew,4.5,12.0,2.67,375000.0
943-goligoski-alex,4.8,37.0,7.71,129729.73
2386-ristolainen-rasmus,0.925,41.0,44.32,22560.98
720-bouwmeester-jay,5.6,19.0,3.39,294736.84
2382-jones-seth,0.925,20.0,21.62,46250.0
1707-schwartz-jaden,2.7,22.0,8.15,122727.27
1-iginla-jarome,5.5,47.0,8.55,117021.28
729-horton-nathan,6.0,19.0,3.17,315789.47
796-howard-jimmy,5.5,5.0,0.91,1100000.0
701-hossa-marian,7.9,33.0,4.18,239393.94
361-carter-jeff,7.0,62.0,8.86,112903.23
263-streit-mark,5.75,23.0,4.0,250000.0
939-nielsen-frans,3.5,52.0,14.86,67307.69
1319-benn-jamie,5.75,89.0,15.48,64606.74
1836-krug-torey,3.4,44.0,12.94,77272.73
351-lupul-joffrey,6.75,21.0,3.11,321428.57
323-wideman-dennis,5.25,19.0,3.62,276315.79
2006-lindholm-hampus,0.833,34.0,40.82,24500.0
1331-kane-evander,6.0,35.0,5.83,171428.57
656-clarkson-david,5.5,15.0,2.73,366666.67
1477-spurgeon-jared,3.6,29.0,8.06,124137.93
1664-hoffman-mike,2.0,59.0,29.5,33898.31
1024-bogosian-zach,5.25,24.0,4.57,218750.0
1422-schenn-brayden,2.75,59.0,21.45,46610.17
1998-andersen-frederik,1.3,7.0,5.38,185714.29
129-edler-alexander,6.0,20.0,3.33,300000.0
196-filppula-valtteri,6.0,31.0,5.17,193548.39
644-greene-andy,5.0,13.0,2.6,384615.38
1071-neal-james,5.0,58.0,11.6,86206.9
